imdbId,title,genre,score,viewers
tt0458027,Mumbai Godfather(2005),Action | Crime | Drama,3.7,27
tt0459133,Shabnam Mausi(2005),Drama,6.5,65
tt0459293,"Gandhi, My Father(2007)",Biography | Drama | History,7.3,1.7K
tt0459423,Kahaani Gudiya Ki...: True Story of a Woman(2008),Drama,6.3,42
tt0459475,Naam Gum Jaayega(2005),Thriller,6.1,97
tt0459605,Eklavya: The Royal Guard(2007),Action | Drama | Thriller,6.1,3.4K
tt0461209,Ek Khiladi Ek Haseena(2005),Comedy | Crime | Thriller,5.8,656
tt0461258,Kal: Yesterday and Tomorrow(2005),Drama | Mystery | Thriller,7.3,124
tt0461323,Pyare Mohan(2006),Comedy | Drama | Romance,3.4,949
tt0461936,Don(2006),Action | Crime | Thriller,7.1,39K
tt0463279,2-Oct(2003),Crime,5.3,42
tt0464160,Chup Chup Ke(2006),Comedy | Drama | Romance,6.9,12K
tt0466208,Bhairav(2001),Action,4.8,37
tt0466367,Chand Sa Roshan Chehra(2005),Romance,5.0,72
tt0466398,Ssukh(2005),Comedy | Family | Romance,5.0,67
tt0466460,Khosla's Nest(2006),Comedy | Crime | Drama,8.3,25K
tt0466546,The Film(2005),Drama | Thriller,6.4,93
